event_id,user_id,timestamp,channel,spend
imp_0_0,user_fc49306d,2024-01-07 10:07:00,linear_tv,0.02
imp_0_1,user_7e230522,2024-01-02 18:22:00,linear_tv,0.02
imp_0_2,user_9a49a25d,2024-01-05 03:39:00,ctv,0.025
imp_0_3,user_5d79099f,2024-01-05 01:23:00,linear_tv,0.02
imp_0_4,user_0fe47339,2024-01-04 20:32:00,search,1.5
imp_0_5,user_3c59dc04,2024-01-05 11:24:00,ctv,0.025
imp_0_6,user_818f4654,2024-01-07 09:27:00,ctv,0.025
imp_0_7,user_d1e946f4,2024-01-06 14:50:00,social,0.85
imp_0_8,user_b51a15f3,2024-01-01 02:36:00,linear_tv,0.02
imp_0_9,user_814a9c18,2024-01-01 06:17:00,linear_tv,0.02
imp_0_10,user_50525975,2024-01-06 17:57:00,social,0.85
imp_0_11,user_9683cc5f,2024-01-04 14:59:00,ctv,0.025
imp_0_12,user_c0f168ce,2024-01-07 02:13:00,ctv,0.025
imp_0_13,user_228499b5,2024-01-04 01:05:00,linear_tv,0.02
imp_0_14,user_cfa53013,2024-01-07 17:25:00,ctv,0.025
imp_0_15,user_757b505c,2024-01-06 03:13:00,linear_tv,0.02
imp_0_16,user_821fa74b,2024-01-06 22:59:00,linear_tv,0.02
imp_0_17,user_7cc532d7,2024-01-05 15:44:00,ctv,0.025
imp_0_18,user_8a1e808b,2024-01-02 12:40:00,ctv,0.025
imp_0_19,user_ea5d2f1c,2024-01-01 06:08:00,ctv,0.025
imp_0_20,user_9f62b862,2024-01-07 10:50:00,search,1.5
imp_0_21,user_9fe97fff,2024-01-03 00:58:00,linear_tv,0.02
imp_0_22,user_cc7e2b87,2024-01-02 08:27:00,ctv,0.025
imp_0_23,user_09fb05dd,2024-01-04 01:32:00,search,1.5
imp_0_24,user_03e7ef47,2024-01-06 23:36:00,ctv,0.025
imp_0_25,user_059fdcd9,2024-01-06 02:00:00,linear_tv,0.02
imp_0_26,user_7fb8ceb3,2024-01-03 00:04:00,linear_tv,0.02
imp_0_27,user_e46de7e1,2024-01-07 08:14:00,linear_tv,0.02
imp_0_28,user_729c6888,2024-01-03 06:48:00,linear_tv,0.02
imp_0_29,user_812b4ba2,2024-01-04 04:22:00,ctv,0.025
imp_0_30,user_2cb6b103,2024-01-03 03:12:00,linear_tv,0.02
imp_0_31,user_404dcc91,2024-01-03 21:27:00,ctv,0.025
imp_0_32,user_87ec2f45,2024-01-01 20:05:00,social,0.85
imp_0_33,user_f670ef5d,2024-01-04 19:29:00,linear_tv,0.02
imp_0_34,user_e449b931,2024-01-02 22:27:00,search,1.5
imp_0_35,user_b166b57d,2024-01-01 00:56:00,linear_tv,0.02
imp_0_36,user_c22abfa3,2024-01-01 02:38:00,linear_tv,0.02
imp_0_37,user_7895fc13,2024-01-01 04:32:00,ctv,0.025
imp_0_38,user_24681928,2024-01-07 21:31:00,ctv,0.025
imp_0_39,user_47a65822,2024-01-06 16:57:00,linear_tv,0.02
imp_0_40,user_1c54985e,2024-01-01 23:16:00,social,0.85
imp_0_41,user_c4ca4238,2024-01-02 21:22:00,ctv,0.025
imp_0_42,user_d16509f6,2024-01-03 01:52:00,ctv,0.025
imp_0_43,user_e721a54a,2024-01-06 22:03:00,linear_tv,0.02
imp_0_44,user_a0a080f4,2024-01-01 05:23:00,ctv,0.025
imp_0_45,user_85d8ce59,2024-01-06 10:47:00,linear_tv,0.02
imp_0_46,user_a1d50185,2024-01-03 05:15:00,search,1.5
imp_0_47,user_0ff8033c,2024-01-04 03:18:00,ctv,0.025
imp_0_48,user_d63fbf8c,2024-01-03 19:31:00,linear_tv,0.02
imp_0_49,user_c3c59e5f,2024-01-01 07:38:00,ctv,0.025
imp_0_50,user_4ffce04d,2024-01-03 17:22:00,social,0.85
imp_0_51,user_6dd4e10e,2024-01-07 15:25:00,linear_tv,0.02
imp_0_52,user_1f50893f,2024-01-02 00:47:00,social,0.85
imp_0_53,user_9431c87f,2024-01-05 22:08:00,social,0.85
imp_0_54,user_6a81681a,2024-01-03 19:23:00,ctv,0.025
imp_0_55,user_5cf21ce3,2024-01-04 10:48:00,linear_tv,0.02
imp_0_56,user_b265ce60,2024-01-04 02:47:00,ctv,0.025
imp_0_57,user_ed3d2c21,2024-01-01 17:45:00,ctv,0.025
imp_0_58,user_168908dd,2024-01-01 03:32:00,linear_tv,0.02
imp_0_59,user_e46de7e1,2024-01-05 15:19:00,ctv,0.025
imp_0_60,user_a60937eb,2024-01-07 02:16:00,linear_tv,0.02
imp_0_61,user_7fe1f8ab,2024-01-03 18:21:00,ctv,0.025
imp_0_62,user_b59a51a3,2024-01-06 05:44:00,ctv,0.025
imp_0_63,user_0533a888,2024-01-03 01:20:00,linear_tv,0.02
imp_0_64,user_27344841,2024-01-07 00:04:00,linear_tv,0.02
imp_0_65,user_71ad16ad,2024-01-03 03:34:00,ctv,0.025
imp_0_66,user_c74d97b0,2024-01-04 13:52:00,search,1.5
imp_0_67,user_db29450c,2024-01-05 23:28:00,search,1.5
imp_0_68,user_045117b0,2024-01-07 02:59:00,linear_tv,0.02
imp_0_69,user_cfecdb27,2024-01-05 20:31:00,search,1.5
imp_0_70,user_ec5decca,2024-01-02 09:30:00,search,1.5
imp_0_71,user_82965d4e,2024-01-06 23:49:00,search,1.5
imp_0_72,user_b618c321,2024-01-02 09:01:00,linear_tv,0.02
imp_0_73,user_0266e33d,2024-01-07 09:54:00,ctv,0.025
imp_0_74,user_e8dfff46,2024-01-01 23:12:00,linear_tv,0.02
imp_0_75,user_1c383cd3,2024-01-05 19:00:00,ctv,0.025
imp_0_76,user_352fe25d,2024-01-06 11:50:00,ctv,0.025
imp_0_77,user_e19347e1,2024-01-02 01:31:00,ctv,0.025
imp_0_78,user_aff16212,2024-01-03 21:57:00,linear_tv,0.02
imp_0_79,user_92049deb,2024-01-04 09:05:00,search,1.5
imp_0_80,user_01a06836,2024-01-05 00:07:00,ctv,0.025
imp_0_81,user_a87ff679,2024-01-07 03:05:00,search,1.5
imp_0_82,user_d9d4f495,2024-01-03 22:39:00,ctv,0.025
imp_0_83,user_8f121ce0,2024-01-02 09:29:00,linear_tv,0.02
imp_0_84,user_07e1cd7d,2024-01-07 18:27:00,ctv,0.025
imp_0_85,user_0e3a37aa,2024-01-05 20:22:00,linear_tv,0.02
imp_0_86,user_15d185ea,2024-01-05 00:57:00,linear_tv,0.02
imp_0_87,user_8597a6cf,2024-01-06 21:47:00,social,0.85
imp_0_88,user_061412e4,2024-01-05 06:04:00,ctv,0.025
imp_0_89,user_229754d7,2024-01-03 11:25:00,linear_tv,0.02
imp_0_90,user_0b8aff04,2024-01-06 13:27:00,linear_tv,0.02
imp_0_91,user_1587965f,2024-01-06 13:51:00,ctv,0.025
imp_0_92,user_66e8ba82,2024-01-02 15:20:00,ctv,0.025
imp_0_93,user_f29b38f1,2024-01-06 04:22:00,linear_tv,0.02
imp_0_94,user_8b6a80c3,2024-01-05 03:33:00,ctv,0.025
imp_0_95,user_3430095c,2024-01-01 23:04:00,ctv,0.025
imp_0_96,user_f9b902fc,2024-01-07 01:48:00,linear_tv,0.02
imp_0_97,user_4aecfbe5,2024-01-03 19:23:00,search,1.5
imp_0_98,user_2aaaddf2,2024-01-01 00:50:00,linear_tv,0.02
imp_0_99,user_71f6278d,2024-01-03 00:32:00,search,1.5
imp_0_100,user_43dd49b4,2024-01-04 12:11:00,linear_tv,0.02
imp_0_101,user_6f2268bd,2024-01-03 22:16:00,ctv,0.025
imp_0_102,user_a981f2b7,2024-01-06 01:50:00,linear_tv,0.02
imp_0_103,user_d554f7bb,2024-01-05 17:44:00,ctv,0.025
imp_0_104,user_d4c2e4a3,2024-01-05 03:09:00,social,0.85
imp_0_105,user_487d4c6a,2024-01-03 16:34:00,linear_tv,0.02
imp_0_106,user_cc1aa436,2024-01-01 06:31:00,linear_tv,0.02
imp_0_107,user_19ca14e7,2024-01-04 16:54:00,ctv,0.025
imp_0_108,user_ccbd8ca9,2024-01-03 08:29:00,search,1.5
imp_0_109,user_05546b0e,2024-01-04 15:24:00,social,0.85
imp_0_110,user_99bcfcd7,2024-01-03 16:35:00,ctv,0.025
imp_0_111,user_d09bf415,2024-01-01 06:27:00,ctv,0.025
imp_0_112,user_1efa39bc,2024-01-02 14:15:00,social,0.85
imp_0_113,user_1543843a,2024-01-01 19:58:00,linear_tv,0.02
imp_0_114,user_9da187a7,2024-01-01 06:44:00,ctv,0.025
imp_0_115,user_7e7e69ea,2024-01-07 13:30:00,social,0.85
imp_0_116,user_d3890178,2024-01-05 10:10:00,ctv,0.025
imp_0_117,user_9232fe81,2024-01-04 16:37:00,ctv,0.025
imp_0_118,user_831c2f88,2024-01-02 08:49:00,ctv,0.025
imp_0_119,user_6a61d423,2024-01-05 04:37:00,search,1.5
imp_0_120,user_5607fe88,2024-01-05 00:21:00,social,0.85
imp_0_121,user_08740852,2024-01-07 12:03:00,search,1.5
imp_0_122,user_6e79ed05,2024-01-05 11:53:00,linear_tv,0.02
imp_0_123,user_07c5807d,2024-01-02 18:38:00,linear_tv,0.02
imp_0_124,user_1ff8a7b5,2024-01-05 17:27:00,linear_tv,0.02
imp_0_125,user_fddd7938,2024-01-04 07:40:00,linear_tv,0.02
imp_0_126,user_f708f064,2024-01-05 16:24:00,linear_tv,0.02
imp_0_127,user_043c3d7e,2024-01-05 05:57:00,search,1.5
imp_0_128,user_d2a27e83,2024-01-05 14:20:00,ctv,0.025
imp_0_129,user_854d6fae,2024-01-04 04:35:00,ctv,0.025
imp_0_130,user_b2dd1403,2024-01-01 17:46:00,linear_tv,0.02
imp_0_131,user_c88d8d0a,2024-01-07 00:52:00,linear_tv,0.02
imp_0_132,user_26337353,2024-01-01 10:11:00,linear_tv,0.02
imp_0_133,user_6cfe0e61,2024-01-06 11:23:00,social,0.85
imp_0_134,user_afdec700,2024-01-02 03:25:00,linear_tv,0.02
imp_0_135,user_57370345,2024-01-04 04:40:00,linear_tv,0.02
imp_0_136,user_1f71e393,2024-01-06 16:08:00,ctv,0.025
imp_0_137,user_bea5955b,2024-01-05 13:34:00,ctv,0.025
imp_0_138,user_297fa777,2024-01-03 04:46:00,search,1.5
imp_0_139,user_45c48cce,2024-01-06 17:58:00,social,0.85
imp_0_140,user_298923c8,2024-01-01 21:00:00,ctv,0.025
imp_0_141,user_dc4c44f6,2024-01-01 10:20:00,linear_tv,0.02
imp_0_142,user_a9078e86,2024-01-06 16:12:00,linear_tv,0.02
imp_0_143,user_a486cd07,2024-01-03 00:20:00,ctv,0.025
imp_0_144,user_38913e1d,2024-01-04 16:04:00,ctv,0.025
imp_0_145,user_56f9f889,2024-01-03 20:22:00,social,0.85
imp_0_146,user_07c5807d,2024-01-02 18:16:00,search,1.5
imp_0_147,user_d54e99a6,2024-01-01 18:44:00,ctv,0.025
imp_0_148,user_991de292,2024-01-01 16:39:00,linear_tv,0.02
imp_0_149,user_2a34abd6,2024-01-07 01:53:00,linear_tv,0.02
imp_0_150,user_eda80a3d,2024-01-01 21:43:00,search,1.5
imp_0_151,user_06997f04,2024-01-01 16:47:00,linear_tv,0.02
imp_0_152,user_a284df11,2024-01-05 13:01:00,linear_tv,0.02
