,week,ctv_spend,linear_tv_spend,search_spend,social_spend,conversions,ctv_spend_saturated,social_spend_saturated,search_spend_saturated,linear_tv_spend_saturated,ctv_spend_contribution,social_spend_contribution,search_spend_contribution,linear_tv_spend_contribution
0,2024-01-07,85960.56983613479,107871.02860600868,38605.333804142334,24127.08174494015,3947.299952254796,0.044433319914364416,0.004634058938165882,0.00541175432508705,0.06297111920706946,1403.919187643987,1403.8334221630992,1403.3009442649045,1402.7487480900306
1,2024-01-14,139492.90532866734,181403.14580251952,73979.32972595014,36376.00856683007,5111.558917658833,0.06424712922753613,0.007067168782327464,0.010993653601289757,0.090691771459548,1403.9192394055417,1403.8336629354174,1403.3011113813036,1402.7487797936462
2,2024-01-21,187362.59073234515,246414.32137696154,58566.618813732384,45201.72195545411,5491.586661772405,0.08008992261781268,0.008830942895024192,0.008526746660435378,0.11179230801813307,1403.9192565588157,1403.8337407468146,1403.3010692520638,1402.748789476799
3,2024-01-28,232313.16473203205,264117.1352514866,56164.45887510142,43426.62842151438,5584.064906207702,0.09380578198213997,0.008475685169427639,0.008146520296212887,0.11713303227090358,1403.9192649945942,1403.8337282738646,1403.3010599773713,1402.7487911020237
4,2024-02-04,243588.698653631,277066.51658552926,56594.54719161029,44559.96741764541,5761.9703751525385,0.09709948661070154,0.008702479458048673,0.008214502733990782,0.12094550431257145,1403.9192665097212,1403.8337363825221,1403.301061711259,1402.748792125715
5,2024-02-11,252323.88662492385,281611.7053080161,54581.05917591208,40364.480957651,5741.026920165201,0.09961446307636382,0.00786341272010499,0.00789660209898467,0.1222657190383967,1403.9192675670643,1403.8337034360447,1403.3010532945084,1402.748792456789
6,2024-02-18,280974.5633817694,256027.6847497922,47628.91497240103,41464.037126323776,5572.733160220652,0.10765300721520499,0.00808317957185767,0.00680652407259478,0.11471156507054571,1403.9192704642162,1403.833712890269,1403.3010171177289,1402.748790394873
7,2024-02-25,291987.18941013457,266204.47610272747,53526.01630869061,40303.63739935203,5764.141157134586,0.1106622176076731,0.007851255022393984,0.00773040241824578,0.11775280210385565,1403.919271389691,1403.833702893774,1403.301048562445,1402.74879127564
8,2024-03-03,280508.8320165818,273321.19825109286,45418.41944671109,40791.37324869947,5657.557257334939,0.10752479349310821,0.007948722917202748,0.006462594503075563,0.11985070309016392,1403.919270423046,1403.8337071832464,1403.3010026197328,1402.7487918423167
9,2024-03-10,285516.3433296734,311013.2906176362,46259.29672049637,43951.74753247324,5832.971856540753,0.10889925598791968,0.008580755899429107,0.00659326433017946,0.13059414366251387,1403.919270856833,1403.833732096763,1403.3010083414301,1402.7487943061465
10,2024-03-17,276762.3654891084,299032.30080611043,45892.90253660784,38357.62974877658,5658.376035944401,0.10649054507496947,0.007462581590548295,0.006536303013181587,0.1272433702831987,1403.9192700854774,1403.8336843903353,1403.3010058809043,1402.7487936083744
11,2024-03-24,270250.028817483,298930.0712176867,49528.14971030478,50320.365748636206,5869.259585044794,0.10468046721848394,0.009856517895820665,0.00710309325893864,0.12721453033770735,1403.919269470396,1403.8337706084665,1403.301028281667,1402.7487936021128
12,2024-03-31,275537.1242230815,295776.7771638161,66471.49639629715,40776.56026194954,6048.073982931084,0.10615119266132683,0.007945762426169456,0.009786452265493397,0.12632284683579673,1403.9192699725572,1403.8337070548826,1403.3010939366711,1402.7487934062563
13,2024-04-07,253400.3366959811,277807.62864677847,41944.00172890586,34818.50503184197,5510.6751546388805,0.09992223641772943,0.006756673403719504,0.0059248852747173465,0.12116139533632206,1403.9192676910116,1403.8336438741128,1403.3009758534788,1402.748792180641
14,2024-04-14,238822.83182319623,297386.27235349995,51027.52625675288,44125.48387248452,5763.7132103791655,0.09571395846329288,0.008615523165483682,0.007337891882726095,0.12677848889646423,1403.9192658913585,1403.833733336251,1403.301036359402,1402.7487935068862
15,2024-04-21,242932.6923882405,302242.4640264812,40222.00674948382,45992.748367002154,5615.597825450607,0.09690934080036359,0.008989325930100964,0.0056597694192546035,0.12814682130049213,1403.9192664264226,1403.8337459149384,1403.300960388829,1402.7487938022591
16,2024-04-28,240951.4831877946,306907.3127602718,43239.80013690276,46985.951422742924,5785.556348738707,0.09633398325654839,0.009188248438841019,0.006125000558864605,0.12945226013116692,1403.9192661713676,1403.833752093574,1403.3009864729356,1402.7487940748247
17,2024-05-05,254378.6817528195,286413.0748465816,56359.19117445043,47472.30886588006,6022.40237948672,0.10020155665990864,0.00928568094723703,0.008177295730208995,0.12365051918461896,1403.9192678025138,1403.8337550001925,1403.3010607665735,1402.7487927920452
18,2024-05-12,249298.2392879813,304166.2216069433,52202.409514094135,43650.75542787713,6037.617717415378,0.09874687699038598,0.008520528084216557,0.007522273683244915,0.12868623396469162,1403.9192672114157,1403.8337299197724,1403.3010422817053,1402.7487939159548
19,2024-05-19,239094.31795925315,277692.374963419,41738.9260416133,37286.83618765609,5716.820712298664,0.09579314297044583,0.007248866264284914,0.005893262477672089,0.12112783721129503,1403.9192659274213,1403.8336731556303,1403.3009740961456,1402.7487921721238
20,2024-05-26,265318.79261239705,285720.09540427645,41509.45636018189,38859.84865119071,5894.515738642221,0.1032992738867077,0.007562855643666678,0.005857893845923973,0.12345126780059798,1403.9192689791273,1403.8336893907751,1403.3009721037135,1402.7487927445434
21,2024-06-02,264120.44122188765,310930.66242710256,51621.28262703945,35699.88797895306,5929.887011844221,0.10296222785078787,0.0069323484896476155,0.007431030757958459,0.1305712299067964,1403.9192688562334,1403.833654919353,1403.3010393949805,1402.748794301568
22,2024-06-09,265862.0723686125,282945.67661277764,44228.068706194535,42386.23159546924,5815.55611302385,0.10345189449215485,0.008267574646768947,0.006277966440949063,0.1226514648057234,1403.9192690343812,1403.8337203435312,1403.3009940467746,1402.7487925513892
23,2024-06-16,247513.20766323013,271636.15437127004,47409.74740499344,40187.761042646154,5875.943804347533,0.09823328085122968,0.007828101622301053,0.006772363200516266,0.1193560772651531,1403.9192669964295,1403.8337018552663,1403.3010157563467,1402.7487917115577
24,2024-06-23,244653.81545107777,271001.03781772737,47691.48664308072,35175.94660922,5865.682366566555,0.09740783177445829,0.006827907338214241,0.006816279306722142,0.11916931015356357,1403.9192666437664,1403.8336484379922,1403.3010175034983,1402.7487916617347
25,2024-06-30,248684.98572405026,263137.7767517975,41924.38902818363,35203.82816759259,5754.038315352027,0.09857057642703591,0.006833464411307833,0.005921860412303699,0.1168415364179613,1403.919267137996,1403.83364878906,1403.3009756863535,1402.7487910193531
26,2024-07-07,236288.3645282435,242110.26318560858,59491.292178803924,38148.46758043744,5821.987379121522,0.09497320761539017,0.00742082694501042,0.008673443726839715,0.11047016760247132,1403.9192655496313,1403.8336822584881,1403.3010725714137,1402.7487890354478
27,2024-07-14,245364.42754049724,248623.00134497552,54252.0681321464,34864.4847942196,5875.784711778363,0.09761328725605425,0.006765835824217503,0.007844748296307305,0.11246710351121077,1403.91926673238,1403.8336444678368,1403.3010518438723,1402.7487896957477
28,2024-07-21,237114.37783484516,238328.8817276322,31934.044270220806,31922.485583587324,5387.097627345106,0.09521492997267925,0.006180089751599832,0.004398273027032621,0.10930064463148162,1403.9192656620185,1403.833602044156,1403.3008550208613,1402.7487886308536
29,2024-07-28,235352.7929305304,250973.46772850235,41311.71298848498,35411.36391180664,5707.954114978294,0.0946990690415795,0.006874831078332777,0.00582742865830439,0.11318251513403646,1403.9192654211322,1403.8336513802483,1403.3009703642763,1402.7487899233715
30,2024-08-04,229377.8390276697,238630.3025070967,39520.66334332,36731.16200328288,5615.646903442938,0.09293930025609212,0.007138006768817887,0.005552068156612904,0.10939414518684301,1403.9192645690887,1403.8336669969021,1403.3009535986732,1402.7487886637048
