,week,ctv_spend,linear_tv_spend,search_spend,social_spend,conversions,ctv_spend_normalized,social_spend_normalized,search_spend_normalized,linear_tv_spend_normalized,ctv_spend_adstock,linear_tv_spend_adstock,search_spend_adstock,social_spend_adstock,ctv_spend_saturated,social_spend_saturated,search_spend_saturated,linear_tv_spend_saturated
0,2024-01-07,85960.56983613479,107871.02860600868,38605.333804142334,24127.08174494015,3947.299952254796,0.6519848396348191,0.6018302412750252,0.5133039666149719,0.39584965687581947,43359.435302032405,54462.542865916344,19503.950523281153,12170.49817582331,208.2292854092152,110.31998085489006,139.65654486375192,233.37211244258887
1,2024-01-14,79320.50644337299,116680.52863891431,62397.72958470744,24312.46769435999,5111.558917658833,0.5339417397303694,0.6099765248390884,1.0,0.5152520525991401,61689.833612463895,86141.60514104592,41276.17439846107,18349.262069341763,248.37438195688358,135.45944806229562,203.16538681197906,293.49890143073094
2,2024-01-21,89717.55700227802,137572.43389544982,39847.29993832015,27013.71767203907,5491.586661772405,0.71877432418646,0.7286756407346435,0.538709562448101,0.7984172185605733,76099.41681376233,112529.16108460896,40769.49625338433,22801.243864409647,275.86122745641933,151.00080749588608,201.9145766243347,335.45366458664444
3,2024-01-28,101159.35121939045,116268.5424253097,44210.268893605375,20825.767443787325,5584.064906207702,0.9221797403650235,0.4567629235227886,0.627958232649438,0.5096680647762641,89075.57239026444,114966.90829078875,42720.38965996945,21905.827964338772,298.45531054123404,148.0061754263611,206.68911354972096,339.06770458241635
4,2024-02-04,80969.48334120859,118596.23543463732,43331.46652352868,24354.595815946977,5761.9703751525385,0.5632562708090216,0.6118277310688103,0.6099814962337188,0.5412172015926554,85379.663826524,117361.00087470643,43251.85320713453,23238.177781760824,292.19798737589554,152.4407353096961,207.97079892892302,342.57991896009673
5,2024-02-11,81811.79756738215,115371.79535669854,41581.61921885348,19604.0264797258,5741.026920165201,0.5782304324201188,0.40307682505511266,0.5741867091063723,0.49751371459179383,83956.58189325937,116930.07338878718,42633.53783254761,21508.00836454743,289.75262189195007,146.6560887401114,206.47890408598067,341.9503960939177
6,2024-02-18,104347.84274432274,92093.49227562448,35154.429206744986,22970.15400200072,5572.733160220652,0.9788628473414355,0.5509921843100264,0.4427124383538547,0.182003737195603,94612.46432407497,104961.72663560501,39077.27453451494,22340.909732438657,307.5913918237553,149.46875838260868,197.6797271712882,323.977972454309
7,2024-02-25,95304.99504289604,118031.71199702936,42979.68754666711,20873.229301426854,5764.141157134586,0.818104476298798,0.4588485063407895,0.6027855234428399,0.5335657513808864,95379.09596925096,112073.39022004094,41252.572022209184,21699.602229423876,308.83506272645104,147.30784849906632,203.10729189817184,334.7736402706177
8,2024-03-03,81073.25521900675,120017.09206528252,32524.51318271095,22161.716787520138,5657.557257334939,0.5651010655667877,0.5154675999846764,0.38891501043452614,0.5604752395113459,88583.76926648557,116631.61207444425,37058.12154781309,22028.90419012599,297.63025596616615,148.42137376444805,192.50486110177346,341.51370700814374
9,2024-03-10,93732.83026671878,152445.1967823757,36501.94276568309,24781.31256310637,5832.971856540753,0.7901554654591049,0.6305786430703595,0.4702771069192387,1.0,91571.73163022872,135283.21027685053,36970.34894712611,23514.965938062014,302.6082147434678,153.34590290601838,192.27675092721458,367.80865987201895
10,2024-03-17,82072.96378157992,117957.55239596724,34942.31970690292,17817.390607665006,5658.376035944401,0.5828732901295528,0.3245679494629643,0.4383735372541705,0.5325606053453988,87184.35084048395,127196.68991645334,36138.519428165695,20745.164205448862,295.2699626451765,144.0318166428823,190.101339890506,356.64644946564846
11,2024-03-24,82348.0082657961,124893.47721818255,39045.4537982339,32446.127705587096,5869.259585044794,0.5877628674736322,0.9673881899220855,0.522307038744126,0.6265688960810766,85129.39583954027,126655.27919320554,37795.5649677393,26739.482261969424,291.7694223861374,163.5221155133746,194.41081494541217,355.88661002235744
12,2024-03-31,91029.83363619224,120715.44840881554,54757.860256826985,17001.484686851447,6048.073982931084,0.7421031981198432,0.28871517306137795,0.8437192230764479,0.5699406371133616,88481.12436537602,124275.14671231052,46562.21358627089,21945.852430106384,297.45776904524786,148.1413258685988,215.78279260930628,352.5268028282538
13,2024-04-07,65240.63706410643,105848.44990342218,25516.64365185776,15979.05693606134,5510.6751546388805,0.2836381914856173,0.24378735405584462,0.24556238909270697,0.3684359850754075,77148.64070330495,115578.94510029025,36172.46936575046,19033.291133926796,277.756441335399,137.96119430451012,190.1906132430054,339.9690355021914
14,2024-04-14,67458.04161801265,136301.2126128307,43372.53316119555,27829.8182695426,5763.7132103791655,0.3230578915400869,0.7645369716762302,0.610821553277207,0.7811873115201927,72600.881561214,126606.00958082265,39998.64049542543,23554.92653536083,269.44550759144977,153.47614321242514,199.99660120968414,355.8173823477749
15,2024-04-21,81250.85341928598,130923.18371545969,27210.24680112516,25957.88941235909,5615.597825450607,0.5682583008006056,0.682280126806963,0.28020664864853284,0.7082944649095152,77284.24450345653,129404.25178313984,33746.31464045308,24871.4813955708,278.0004397540704,157.70694783544192,183.7017001566754,359.72802473971893
16,2024-04-28,75572.31034362408,131065.26190896932,35076.72609656522,25052.170032170063,5785.556348738707,0.4673085375313612,0.6424807411276418,0.44112294749908904,0.7102201674603665,76761.60781605083,130875.10613653796,34594.40624859834,25072.884008367633,277.0588526216963,158.34419474160597,185.9957156726959,361.76664597021374
17,2024-05-05,91116.15465790743,108095.71726351016,45836.17334548087,24978.024213012435,6022.40237948672,0.7436377619315815,0.6392226038748563,0.6612176511077194,0.3988950469544077,84340.77160473514,120013.53803072224,40454.27415604538,25136.18371077836,290.41482676463875,158.54394883053203,201.1324791177332,346.4297014268872
18,2024-05-12,75964.5050978178,137950.47665995595,38451.55751044988,21653.96463678351,6037.617717415378,0.47428074273677495,0.4931558065984573,0.5101583266021278,0.8035411429148832,80487.69861588912,129655.99592602343,39653.39768314261,23491.0679491136,283.7035400129669,153.2679612610333,199.13160895031862,360.07776372059334
19,2024-05-19,69332.749261653,100131.10727794709,30203.458788478332,17083.82656198997,5716.820712298664,0.3563853296351968,0.29233346380117925,0.34143564024572565,0.2909441405776644,75216.03320171588,115382.76501038086,35085.90547946946,20363.181239435187,274.25541599340545,142.69961891832503,187.31232068251532,339.6803865553336
20,2024-05-26,103200.45880067733,125463.93980188924,32448.41872363839,21782.1911843733,5894.515738642221,0.9584653376375163,0.49879037502382195,0.3873584260646811,0.634300844422148,89663.43718541318,121036.33515734786,33936.344299443146,21169.248425885788,299.4385365737235,145.4965581238463,184.2181975252259,347.90276681473495
21,2024-06-02,82158.27929108773,145606.95724396518,41886.757009947934,17831.090166670983,5929.887011844221,0.5843899785429808,0.3251699394881769,0.5804285921824286,0.9073157182171163,86273.2376780157,134033.04226703278,38129.94322641838,19579.215960116024,293.72306289771615,139.92575159746696,195.26889979312728,366.1052338700347
22,2024-06-09,84866.58537106677,102502.26001614098,31662.041603210153,25889.66039579167,5815.55611302385,0.6325366341184818,0.679281987422642,0.3712723358370717,0.32308232282509447,85944.23661906514,118768.44935858405,35061.07453587888,22849.209134919896,293.1624747798823,151.15954860649688,187.24602675592044,344.6279869055676
23,2024-06-16,66093.70701562497,106912.06218824978,37911.1349240304,20062.38440503592,5875.943804347533,0.2988035619883082,0.4232181229533466,0.49910346976518455,0.3828519967054435,76310.49448221822,113362.59908673444,36683.768880727264,21544.73494150993,276.24354197377755,146.78124860318476,191.5300730452721,336.69362792713264
24,2024-06-23,75751.16338922904,114455.56263401233,36318.14616587161,16443.45303692025,5865.682366566555,0.4704880806594548,0.2641939832285574,0.46651737305708707,0.48509525931962205,76364.9482038901,114468.27966909714,36690.316020055034,19066.989145506148,276.3420854735849,138.0832688833305,191.54716395722238,338.33161198607667
25,2024-06-30,82679.97990317637,105208.87100232088,31028.945178422146,18730.29799839953,5754.038315352027,0.593664461907119,0.36468319280220174,0.35832174769385244,0.35976724646818425,79887.14458306285,110352.59731924333,34021.41183080428,18981.67649678352,282.64313998939167,137.7740051562105,184.44894098585735,332.19361420599785
26,2024-07-07,66588.07707093237,90081.24270992706,50182.60862527728,22164.65727137812,5821.987379121522,0.3075921789602536,0.5155968115856507,0.7501281092873711,0.1547300646784311,73531.3140334452,100657.03251285515,42363.65638390891,20671.424601137398,271.16657986087665,143.77560502789547,205.82433379925928,317.2649248071005
27,2024-07-14,83959.46739349008,110150.28163078484,39197.285544563216,17044.15002931563,5875.784711778363,0.6164104299366162,0.2905899860078758,0.525412901195387,0.4267422467618923,79115.71473947658,105941.82144628106,40984.84095145179,18933.34540983387,281.2751584116105,137.59849348678884,202.44713125023972,325.4870526553722
28,2024-07-21,71308.57963744311,93937.42636395997,20174.85860685184,15517.959001285037,5387.097627345106,0.3915104675514824,0.22352565386094467,0.13629110693273547,0.20699609168572905,75526.6713406505,100398.57666991775,30685.039093622938,17294.44457199107,274.82116246870527,131.50834411546313,175.1714562753388,316.8573443521828
